동별,연령별,항목,2022 년
무악동,10~14세,한국인,475
무악동,10~14세,외국인,2
무악동,15~19세,계,468
무악동,15~19세,한국인,468
무악동,15~19세,외국인,0
무악동,20~24세,계,453
무악동,20~24세,한국인,451
무악동,20~24세,외국인,2
무악동,25~29세,계,403
무악동,25~29세,한국인,402
무악동,25~29세,외국인,1
무악동,30~34세,계,363
무악동,30~34세,한국인,359
무악동,30~34세,외국인,4
무악동,35~39세,계,498
무악동,35~39세,한국인,494
무악동,35~39세,외국인,4
무악동,40~44세,계,610
무악동,40~44세,한국인,606
무악동,40~44세,외국인,4
무악동,45~49세,계,707
무악동,45~49세,한국인,704
무악동,45~49세,외국인,3
무악동,50~54세,계,843
무악동,50~54세,한국인,838
무악동,50~54세,외국인,5
무악동,55~59세,계,592
무악동,55~59세,한국인,589
무악동,55~59세,외국인,3
무악동,60~64세,계,592
무악동,60~64세,한국인,591
무악동,60~64세,외국인,1
무악동,65~69세,계,475
무악동,65~69세,한국인,475
무악동,65~69세,외국인,0
무악동,70~74세,계,333
무악동,70~74세,한국인,333
무악동,70~74세,외국인,0
무악동,75~79세,계,250
무악동,75~79세,한국인,250
무악동,75~79세,외국인,0
무악동,80~84세,계,271
무악동,80~84세,한국인,271
무악동,80~84세,외국인,0
무악동,85~89세,계,102
무악동,85~89세,한국인,102
무악동,85~89세,외국인,0
무악동,90~94세,계,32
무악동,90~94세,한국인,32
무악동,90~94세,외국인,0
무악동,95~99세,계,10
무악동,95~99세,한국인,10
무악동,95~99세,외국인,0
무악동,100세 이상,계,3
무악동,100세 이상,한국인,3
무악동,100세 이상,외국인,0
교남동,계,계,9994
교남동,계,한국인,9816
교남동,계,외국인,178
교남동,0~4세,계,340
교남동,0~4세,한국인,337
교남동,0~4세,외국인,3
교남동,5~9세,계,439
교남동,5~9세,한국인,430
교남동,5~9세,외국인,9
교남동,10~14세,계,402
교남동,10~14세,한국인,392
교남동,10~14세,외국인,10
교남동,15~19세,계,416
교남동,15~19세,한국인,407
교남동,15~19세,외국인,9
교남동,20~24세,계,478
교남동,20~24세,한국인,471
교남동,20~24세,외국인,7
교남동,25~29세,계,665
교남동,25~29세,한국인,657
교남동,25~29세,외국인,8
교남동,30~34세,계,736
교남동,30~34세,한국인,720
교남동,30~34세,외국인,16
교남동,35~39세,계,792
교남동,35~39세,한국인,762
교남동,35~39세,외국인,30
교남동,40~44세,계,916
교남동,40~44세,한국인,893
교남동,40~44세,외국인,23
교남동,45~49세,계,859
교남동,45~49세,한국인,838
교남동,45~49세,외국인,21
교남동,50~54세,계,930
교남동,50~54세,한국인,916
교남동,50~54세,외국인,14
교남동,55~59세,계,713
교남동,55~59세,한국인,705
교남동,55~59세,외국인,8
교남동,60~64세,계,652
교남동,60~64세,한국인,640
교남동,60~64세,외국인,12
교남동,65~69세,계,539
교남동,65~69세,한국인,536
교남동,65~69세,외국인,3
교남동,70~74세,계,397
교남동,70~74세,한국인,394
교남동,70~74세,외국인,3
교남동,75~79세,계,307
교남동,75~79세,한국인,307
교남동,75~79세,외국인,0
교남동,80~84세,계,249
교남동,80~84세,한국인,248
교남동,80~84세,외국인,1
교남동,85~89세,계,128
교남동,85~89세,한국인,128
교남동,85~89세,외국인,0
교남동,90~94세,계,31
교남동,90~94세,한국인,30
교남동,90~94세,외국인,1
교남동,95~99세,계,5
교남동,95~99세,한국인,5
교남동,95~99세,외국인,0
교남동,100세 이상,계,0
교남동,100세 이상,한국인,0
교남동,100세 이상,외국인,0
가회동,계,계,4065
가회동,계,한국인,3941
가회동,계,외국인,124
가회동,0~4세,계,68
가회동,0~4세,한국인,62
가회동,0~4세,외국인,6
가회동,5~9세,계,111
가회동,5~9세,한국인,106
가회동,5~9세,외국인,5
가회동,10~14세,계,165
가회동,10~14세,한국인,158
가회동,10~14세,외국인,7
가회동,15~19세,계,142
가회동,15~19세,한국인,139
가회동,15~19세,외국인,3
가회동,20~24세,계,194
가회동,20~24세,한국인,191
가회동,20~24세,외국인,3
가회동,25~29세,계,258
가회동,25~29세,한국인,254
가회동,25~29세,외국인,4
가회동,30~34세,계,266
가회동,30~34세,한국인,258
가회동,30~34세,외국인,8
가회동,35~39세,계,271
가회동,35~39세,한국인,253
가회동,35~39세,외국인,18
가회동,40~44세,계,356
가회동,40~44세,한국인,340
가회동,40~44세,외국인,16
가회동,45~49세,계,328
가회동,45~49세,한국인,315
가회동,45~49세,외국인,13
가회동,50~54세,계,389
가회동,50~54세,한국인,376
가회동,50~54세,외국인,13
가회동,55~59세,계,317
가회동,55~59세,한국인,305
가회동,55~59세,외국인,12
가회동,60~64세,계,360
가회동,60~64세,한국인,347
가회동,60~64세,외국인,13
가회동,65~69세,계,226
가회동,65~69세,한국인,225
가회동,65~69세,외국인,1
가회동,70~74세,계,189
가회동,70~74세,한국인,187
가회동,70~74세,외국인,2
가회동,75~79세,계,189
가회동,75~79세,한국인,189
가회동,75~79세,외국인,0
가회동,80~84세,계,137
가회동,80~84세,한국인,137
가회동,80~84세,외국인,0
가회동,85~89세,계,66
가회동,85~89세,한국인,66
가회동,85~89세,외국인,0
가회동,90~94세,계,25
가회동,90~94세,한국인,25
가회동,90~94세,외국인,0
가회동,95~99세,계,8
가회동,95~99세,한국인,8
가회동,95~99세,외국인,0
가회동,100세 이상,계,0
가회동,100세 이상,한국인,0
가회동,100세 이상,외국인,0
종로1.2.3.4가동,계,계,8700
종로1.2.3.4가동,계,한국인,6728
종로1.2.3.4가동,계,외국인,1972
종로1.2.3.4가동,0~4세,계,169
종로1.2.3.4가동,0~4세,한국인,86
종로1.2.3.4가동,0~4세,외국인,83
종로1.2.3.4가동,5~9세,계,199
종로1.2.3.4가동,5~9세,한국인,83
종로1.2.3.4가동,5~9세,외국인,116
종로1.2.3.4가동,10~14세,계,222
종로1.2.3.4가동,10~14세,한국인,110
종로1.2.3.4가동,10~14세,외국인,112
종로1.2.3.4가동,15~19세,계,203
종로1.2.3.4가동,15~19세,한국인,90
종로1.2.3.4가동,15~19세,외국인,113
종로1.2.3.4가동,20~24세,계,554
종로1.2.3.4가동,20~24세,한국인,342
종로1.2.3.4가동,20~24세,외국인,212
종로1.2.3.4가동,25~29세,계,758
종로1.2.3.4가동,25~29세,한국인,628
종로1.2.3.4가동,25~29세,외국인,130
종로1.2.3.4가동,30~34세,계,714
종로1.2.3.4가동,30~34세,한국인,537
종로1.2.3.4가동,30~34세,외국인,177
종로1.2.3.4가동,35~39세,계,642
종로1.2.3.4가동,35~39세,한국인,410
종로1.2.3.4가동,35~39세,외국인,232
종로1.2.3.4가동,40~44세,계,658
종로1.2.3.4가동,40~44세,한국인,434
종로1.2.3.4가동,40~44세,외국인,224
종로1.2.3.4가동,45~49세,계,637
종로1.2.3.4가동,45~49세,한국인,433
종로1.2.3.4가동,45~49세,외국인,204
종로1.2.3.4가동,50~54세,계,704
종로1.2.3.4가동,50~54세,한국인,557
종로1.2.3.4가동,50~54세,외국인,147
종로1.2.3.4가동,55~59세,계,694
종로1.2.3.4가동,55~59세,한국인,591
종로1.2.3.4가동,55~59세,외국인,103
종로1.2.3.4가동,60~64세,계,789
종로1.2.3.4가동,60~64세,한국인,721
종로1.2.3.4가동,60~64세,외국인,68
종로1.2.3.4가동,65~69세,계,622
종로1.2.3.4가동,65~69세,한국인,593
종로1.2.3.4가동,65~69세,외국인,29
종로1.2.3.4가동,70~74세,계,389
종로1.2.3.4가동,70~74세,한국인,378
종로1.2.3.4가동,70~74세,외국인,11
종로1.2.3.4가동,75~79세,계,340
종로1.2.3.4가동,75~79세,한국인,334
종로1.2.3.4가동,75~79세,외국인,6
종로1.2.3.4가동,80~84세,계,254
종로1.2.3.4가동,80~84세,한국인,250
종로1.2.3.4가동,80~84세,외국인,4
종로1.2.3.4가동,85~89세,계,107
종로1.2.3.4가동,85~89세,한국인,106
종로1.2.3.4가동,85~89세,외국인,1
종로1.2.3.4가동,90~94세,계,32
종로1.2.3.4가동,90~94세,한국인,32
종로1.2.3.4가동,90~94세,외국인,0
종로1.2.3.4가동,95~99세,계,11
종로1.2.3.4가동,95~99세,한국인,11
종로1.2.3.4가동,95~99세,외국인,0
종로1.2.3.4가동,100세 이상,계,2
종로1.2.3.4가동,100세 이상,한국인,2
종로1.2.3.4가동,100세 이상,외국인,0
종로5.6가동,계,계,5817
종로5.6가동,계,한국인,5300
종로5.6가동,계,외국인,517
종로5.6가동,0~4세,계,61
종로5.6가동,0~4세,한국인,56
종로5.6가동,0~4세,외국인,5
종로5.6가동,5~9세,계,84
종로5.6가동,5~9세,한국인,82
종로5.6가동,5~9세,외국인,2
종로5.6가동,10~14세,계,100
종로5.6가동,10~14세,한국인,97
종로5.6가동,10~14세,외국인,3
종로5.6가동,15~19세,계,159
종로5.6가동,15~19세,한국인,114
종로5.6가동,15~19세,외국인,45
종로5.6가동,20~24세,계,592
종로5.6가동,20~24세,한국인,418
종로5.6가동,20~24세,외국인,174
종로5.6가동,25~29세,계,880
종로5.6가동,25~29세,한국인,771
종로5.6가동,25~29세,외국인,109
종로5.6가동,30~34세,계,558
종로5.6가동,30~34세,한국인,495
종로5.6가동,30~34세,외국인,63
종로5.6가동,35~39세,계,343
종로5.6가동,35~39세,한국인,313
종로5.6가동,35~39세,외국인,30
종로5.6가동,40~44세,계,291
종로5.6가동,40~44세,한국인,266
종로5.6가동,40~44세,외국인,25
종로5.6가동,45~49세,계,297
종로5.6가동,45~49세,한국인,285
종로5.6가동,45~49세,외국인,12
종로5.6가동,50~54세,계,442
종로5.6가동,50~54세,한국인,427
종로5.6가동,50~54세,외국인,15
종로5.6가동,55~59세,계,493
종로5.6가동,55~59세,한국인,474
종로5.6가동,55~59세,외국인,19
종로5.6가동,60~64세,계,449
종로5.6가동,60~64세,한국인,444
종로5.6가동,60~64세,외국인,5
종로5.6가동,65~69세,계,332
종로5.6가동,65~69세,한국인,323
종로5.6가동,65~69세,외국인,9
종로5.6가동,70~74세,계,242
종로5.6가동,70~74세,한국인,242
종로5.6가동,70~74세,외국인,0
종로5.6가동,75~79세,계,233
종로5.6가동,75~79세,한국인,233
종로5.6가동,75~79세,외국인,0
종로5.6가동,80~84세,계,170
종로5.6가동,80~84세,한국인,170
종로5.6가동,80~84세,외국인,0
종로5.6가동,85~89세,계,62
종로5.6가동,85~89세,한국인,62
종로5.6가동,85~89세,외국인,0
종로5.6가동,90~94세,계,22
종로5.6가동,90~94세,한국인,21
종로5.6가동,90~94세,외국인,1
종로5.6가동,95~99세,계,7
종로5.6가동,95~99세,한국인,7
종로5.6가동,95~99세,외국인,0
종로5.6가동,100세 이상,계,0
종로5.6가동,100세 이상,한국인,0
종로5.6가동,100세 이상,외국인,0
이화동,계,계,7631
이화동,계,한국인,7101
이화동,계,외국인,530
이화동,0~4세,계,87
이화동,0~4세,한국인,85
이화동,0~4세,외국인,2
이화동,5~9세,계,115
이화동,5~9세,한국인,113
이화동,5~9세,외국인,2
이화동,10~14세,계,154
이화동,10~14세,한국인,152
이화동,10~14세,외국인,2
이화동,15~19세,계,208
이화동,15~19세,한국인,187
이화동,15~19세,외국인,21
이화동,20~24세,계,799
이화동,20~24세,한국인,562
이화동,20~24세,외국인,237
